minsup,fp_num,algorithm,time
0.01,240,fpg,26.13650119304657
0.02,89,fpg,10.86717438697815
0.03,54,fpg,8.201194643974304
0.04,34,fpg,7.876594305038452
0.05,26,fpg,7.360823154449463
0.06,22,fpg,7.560469269752502
0.07,18,fpg,7.089313983917236
0.08,13,fpg,6.870230674743652
0.09,10,fpg,6.3095762729644775
0.1,9,fpg,6.3422558307647705
0.2,5,fpg,5.811132311820984
0.3,4,fpg,6.047920346260071
0.4,2,fpg,5.145104289054871
0.5,1,fpg,4.529171109199524
0.01,383,apr,2805.4581842422485
0.02,121,apr,357.7822788953781
0.03,65,apr,133.56786620616913
0.04,42,apr,75.25487637519836
0.05,33,apr,48.569231033325195
0.06,24,apr,40.944740295410156
0.07,19,apr,28.749395728111267
0.08,14,apr,15.58629858493805
0.09,10,apr,10.386606693267822
0.1,9,apr,9.965440392494202
0.2,5,apr,6.992621064186096
0.3,4,apr,6.3518723249435425
0.4,2,apr,5.16266667842865
0.5,1,apr,4.381525039672852
