rule,confidence,support
438->6,0.9719725013220518,18380
423->6,0.9711862861311207,10651
364->6,0.9661379140297526,11755
135->6,0.9659258450281221,17689
90->6,0.96491705194452,21288
25->6,0.9644774234291127,12218
155->6,0.9627631807899774,11066
56->6,0.9618461147790757,15151
49->6,0.9611872146118722,12209
512->6,0.9606841575729432,12413
378->6,0.9316996871741398,10722
83->6,0.9308021855209239,29983
148->6,0.9260318640771145,64750
40->6,0.9245079312349472,22264
987->6,0.9228263311615368,16430
897->6,0.9140379100510596,13068
87->6,0.9128976412032028,16874
32->6,0.9124582166410696,10100
205->6,0.9115238852758153,19482
69->6,0.9031417082762583,20439
136->6,0.8948435322437603,21189
314->6,0.8948254952162781,13281
87->7,0.8926098247132656,16499
897->7,0.891655592082255,12748
14->6,0.8916171275954166,10349
303->6,0.8912736515108727,18936
11->6,0.8899866782030681,324013
273->6,0.8889794492635501,15270
438->11,0.878900052882073,16620
737->6,0.8784924907905922,15501
218->6,0.8767127926138287,77675
215->6,0.8726380140792886,18842
77->6,0.8665255212408524,37654
135->11,0.8638125921476547,15819
90->11,0.8637929471489438,19057
504->6,0.863123882854393,12555
512->11,0.8586796687562882,11095
49->11,0.858053849787435,10899
56->11,0.8559547993905536,13483
364->11,0.8524697953480727,10372
25->11,0.8490685191032523,10756
7->6,0.847085088264402,73610
148->218,0.8412659820943337,58823
446->6,0.8268156424581006,19240
27->6,0.8237169711925029,59418
64->6,0.8225311839542497,39697
269->6,0.8198222755274491,15038
138->6,0.8184587354456686,28750
316->6,0.8066207094643114,22466
278->6,0.7979516754499354,16050
148->11,0.7974457252366923,55759
69->11,0.7527285581724183,17035
897->11,0.7512065468280059,10740
40->11,0.7486504443152562,18029
87->11,0.7485392772127245,13836
987->148,0.7479218153223994,13316
83->11,0.7474543648329814,24077
303->11,0.7431045843923562,15788
205->11,0.7418237963786085,15855
987->11,0.7409009211413166,13191
314->11,0.7405336208058213,10991
273->11,0.7309192524887932,12555
87->27,0.7298744860419822,13491
136->11,0.7270154989653279,17215
215->11,0.7200815116709892,15548
897->27,0.7183325173113241,10270
737->11,0.7144233493907622,12606
77->11,0.6997974869977447,30409
218->11,0.6959073568252105,61656
504->11,0.6949676887116734,10109
2->6,0.6899853239220072,29619
205->27,0.6789407195994946,14511
1->6,0.668852077236966,132113
205->7,0.6665418986571843,14246
218->148,0.6639314657215738,58823
7->11,0.6567930217036065,57074
269->11,0.6458594559232405,11847
446->11,0.6437902879243661,14981
316->11,0.6404207956340657,17837
27->11,0.6391299525882386,46103
64->11,0.6356346608097468,30677
278->11,0.6279705677637466,12631
138->11,0.6139436900390013,21566
73->6,0.6134727185449891,11502
987->218,0.5966636710851494,10623
55->6,0.5943099125542713,38875
3->6,0.5892482962284821,265180
294->6,0.5876205538499706,18949
490->6,0.5817868675995694,13512
4->6,0.5810338425291625,45377
27->7,0.557781351373832,40235
6-3->11,0.5418281921713554,143682
278->27,0.5394252759272149,10850
6->11,0.5387878425073249,324013
278->7,0.5361936959331809,10785
11-1->6,0.5262075270455584,48349
90->1,0.5025383011513008,11087
83->7,0.5020178815348317,16171
90->11-6,0.49406218837820687,10900
2->11,0.4851492067929275,20826
294->3,0.47278816634105497,15246
11-4->6,0.4707469106550505,12914
1->11,0.4651734996607973,91882
7->27,0.4630141084950172,40235
90->218,0.4622427703743994,10198
1-148->218-11-6,0.4558807800634604,12787
4->3,0.4537690308206461,35438
55->3,0.45347948388674864,29663
2->3,0.4528152444848231,19438
490->3,0.4519268030139935,10496
148->11-6,0.4470838934813077,31261
7->3,0.4448779028286037,38659
27->3,0.44399312390828183,32027
77->3,0.44375661619183504,19283
136->3,0.44313526753663585,10493
316->3,0.4431279620853081,12342
11->3,0.443014296897532,161286
446->3,0.4428448646325741,10305
138->3,0.44256554786916047,15546
6->3,0.4409568754219504,265180
69->3,0.44045777915248996,9968
83->3,0.43890475599155593,14138
64->3,0.43875098421118064,21175
40->3,0.43650859563159206,10512
218->3,0.4364996952527145,38673
148->3,0.43376905694917195,30330
1->3,0.4286104838954648,84660
40->11-6,0.4185698862220746,10080
83->11-6,0.4158077735005588,13394
